2025-08-09T14:44:18 UTC | INFO | cyto-plot | Starting Cytometry Analysis Pipeline
2025-08-09T14:44:18 UTC | INFO | cyto-plot | Setting up cache directory
2025-08-09T14:44:18 UTC | INFO | cyto-plot | Loading .fcs files from '../data/fcs/'...
2025-08-09T14:44:18 UTC | INFO | cyto-plot | Sampling a maximum of 6200 events per file.
2025-08-09T14:44:18 UTC | INFO | cyto-plot | Found 8 .fcs files to process
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Reading file: Spleenocytes_Tcells_Vaccinated_GK15__2_007.fcs
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Sampling 6200 events from Spleenocytes_Tcells_Vaccinated_GK15__2_007.fcs (original size: 62690)
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Successfully loaded 6200 events from Spleenocytes_Tcells_Vaccinated_GK15__2_007.fcs
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Reading file: Spleenocytes_Tcells_Rag2KO_005.fcs
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Sampling 6200 events from Spleenocytes_Tcells_Rag2KO_005.fcs (original size: 96476)
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Successfully loaded 6200 events from Spleenocytes_Tcells_Rag2KO_005.fcs
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Reading file: Spleenocytes_Tcells_Vaccinated_GK15_006.fcs
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Sampling 6200 events from Spleenocytes_Tcells_Vaccinated_GK15_006.fcs (original size: 64785)
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Successfully loaded 6200 events from Spleenocytes_Tcells_Vaccinated_GK15_006.fcs
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Reading file: Spleenocytes_Tcells_Vaccinated_Saline_004.fcs
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Sampling 6200 events from Spleenocytes_Tcells_Vaccinated_Saline_004.fcs (original size: 65121)
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Successfully loaded 6200 events from Spleenocytes_Tcells_Vaccinated_Saline_004.fcs
2025-08-09T14:44:18 UTC | DEBUG | cyto-plot | Reading file: Spleenocytes_Tcells_FMO- no CD4 staining_002.fcs
